Row,Park,MDCATY,SiteName,Year,Transect,Plot,native.forb.rich,native.gram.rich
1,LIBI,Gulley1,LIBI_001,2011,1,A,6,5
2,LIBI,Gulley1,LIBI_001,2011,1,B,5,5
3,LIBI,Gulley1,LIBI_001,2011,1,C,4,2
4,LIBI,Gulley1,LIBI_001,2011,1,D,6,8
5,LIBI,Gulley1,LIBI_001,2011,2,A,6,7
6,LIBI,Gulley1,LIBI_001,2011,2,B,4,6
1105,LIBI,Upland,LIBI_050,2019,2,A,5,2
1106,LIBI,Upland,LIBI_050,2019,2,B,4,6
1107,LIBI,Upland,LIBI_050,2019,2,C,3,3
1108,LIBI,Upland,LIBI_050,2019,3,A,2,1
1109,LIBI,Upland,LIBI_050,2019,3,B,2,1
1110,LIBI,Upland,LIBI_050,2019,3,C,3,2
